dema	để mà
boihoan	bồi hoàn
binhnhi	binh nhì
anhhungnhatkhoanh	anh hùng nhất khoảnh
bantoa	bàn tọa
binhnguyen	Bình Nguyên
bovi	bố vi
aokep	áo kép
beodathoatroi	bèo dạt hoa trôi
botuong	bộ tướng
bai	bài
anlan	ăn lan
a-la-vang	a-la-văng
boteo	bồ tèo
anhoi	ăn hỏi
binhche	binh chế
anthua	ăn thừa
bietco	biết có
antieu	ăn tiêu
binhthe	binh thế
bangnhac	băng nhạc
bar	bar
bidong	biđông
batdibatdich	bất di bất dịch
andoimacret	ăn đói mặc rét
baybot	bấy bớt
anvinhngai	An Vĩnh Ngãi
bang-ca	băng-ca
baoquang	Bảo Quang
bontay	bốn tay
baimang	bái mạng
beomieng	béo miệng
bietxu	biệt xứ
bavinh	Ba Vinh
baynui	Bảy Núi
batacluoi	ba tấc lưỡi
bebai	bẻ bai
anhao	ân Hảo
bietmuichuichangsach	biết mùi chùi chẳng sạch
bagiang	ba giăng
baylong	bẫy lồng
ancanoro	ăn càn ở rỡ
boctuechboctoac	bộc tuệch bộc toạc
bombop	bôm bốp
bocao	bồ cào
bithu	bì thư
ainghia	ái Nghĩa
bi	Bi
bietmu	biệt mù
aithiep	ái thiếp
anchaynamdat	ăn chay nằm đất
ba-xiba-tu	ba-xí ba-tú
bachai	Bắc Hải
a-lo	a-lô
annonguki	ăn no ngủ kĩ
angia	ân gia
battoi	bắt tội
bansechuathuangiuongna	bắn sẻ chưa thuận giương ná
bachkhoathuchuyennganh	bách khoa thư chuyên ngành
batmeo	bắt mẹo
binhsu	binh sự
batchanchungu	bắt chân chữ ngũ
adau	ả đầu
bodai	bồ đài
bomon	bộ môn
bongnga	bóng nga
bebe	bê bê
bacobopconchau	bà cô bóp con cháu
bothua	bờ thửa
bacnhuvoi	bạc như vôi
baola	Bao La
anmankhatnuoc	ăn mặn khát nước
batienbathocbacocgiai	bà tiền, bà thóc, bà cóc gì ai
bangduattuongtri	bạng duật tương trì
balanbayluot	ba lần bảy lượt
an-gin	an-gin
betuhoai	bể tự hoại
banngaybanmat	ban ngày ban mặt
bitbung	bít bưng
bom	bôm
bacquang	Bắc Quang
aomo	áo mớ
bieusinh	biểu sinh
banhchoe	bảnh chọe
bata	bata
botrietam	bộ triệt âm
banggia	băng giá
a-ta-tin	a-ta-tin
beonuochoptan	bèo nước hợp tan
bamviu	bám víu
binhhoatrung	Bình Hoà Trung
baomieng	bạo miệng
baubiu	bâu bíu
bengan	bền gan
banhtrongbanhloc	bánh trong bánh lọc
boinhi	bội nhị
anphanthuki	an phận thủ kỉ
ba-ke-lit	ba-ke-lit
binhxuan	Bình Xuân
banhchoe	bảnh choẹ
boctuech	bộc tuệch
beotoong	bèo tổ ong
bikihoc	bi kí học
batnuingandoi	bạt núi ngăn đồi
boihoi	bổi hổi
bacchuathaucanhdachaylang	bạc chửa thâu canh đã chạy làng
batkhatri	bất khả tri
baoloan	bạo loạn
bai	bai
anninh	an ninh
benxe	bến xe
antoa	an toạ
boxuong	bộ xương
batcanthiep	bất can thiệp
aobo-lu-dong	áo bờ-lu-dông
aocoi	áo cối
ba	Ba
bogiamthanh	bộ giảm thanh
anhemthucba	anh em thúc bá
bietdanh	biệt danh
biubiu	bìu bịu
boi	bội
baituong	bái tướng
bombuom	bom bướm
anngoi	ăn ngồi
banhxuxe	bánh xu xê
at-mot-phe	át-mốt-phe
am	am
baluabayloc	ba lừa bảy lọc
botnhao	bột nhão
bienchep	biên chép
baichai	bài chài
banthuong	ban thưởng
bophau	bóp hầu
amngua	ẵm ngửa
anguinamcho	ăn gửi nằm chờ
bedicaulondihau	bé đi câu, lớn đi hầu
bebau	bể bầu
boidaura	bói đâu ra
baituc	bại tục
bobe	bỏ bê
anay	à này
bosau	bộ sáu
anbeo	ăn bẻo
an-tra-xit	an-tra-xít
bieutrung	biểu trưng
amvat	âm vật
aidoi	ai đời
aovong	ảo vọng
bienthuat	biên thuật
beotaituong	bèo tai tượng
amtap	âm tạp
biethieu	biệt hiệu
bautuong	bậu tường
anlan	ăn lận
bichquy	bích quy
bondaihaingan	bốn dài hai ngắn
boidaisuc	bơi dai sức
baigiang	bài giảng
bemo	bẹ mo
baymuutinhke	bày mưu tính kế
batgiac	bất giác
boiolodi	bồi ở, lở đi
andaulamkhoan	ăn đấu làm khoán
batan	bất an
aotang	áo tang
baythuo	bấy thuở
bachphuclinh	bạch phục linh
bochanbotay	bó chân bó tay
bachhuyetcau	bạch huyết cầu
bientra	biến trá
baolam	bao lăm
batuan	ba tuần
bietgi	biết gì
benno	bên nớ
baoranh	bào rãnh
bambam	băm băm
baungoc	báu ngọc
aoba	áo bả
anhtu	anh tú
anchucnamcho	ăn chực nằm chờ
bao	bạo
axitaxetic	axit axetic
antrabua	ăn trả bữa
bacnhipcauo	bắc nhịp cầu ô
anthanhthuy	An Thạnh Thuỷ
anhoa	An Hoà
bangtam	băng tâm
andung	ăn đụng
ang-ti-gon	ăng-ti-gôn
baodong	bạo động
baoanbaooan	báo ân báo oán
antrach	ân trạch
bongram	bóng râm
bacphong	bắc phong
anbangnoichac	ăn bằng nói chắc
baoxa	bao xa
banhkhoai	bánh khoai
banhtruong	bành trướng
anbaynoican	ăn bậy nói càn
anmayquenngo	ăn mày quen ngõ
a-pa-tit	a-pa-tít
baochiem	bao chiếm
bacson	Bắc Sơn
biadodan	bia đỡ đạn
bodai	bò dái
benhbachcau	bệnh bạch cầu
bongpheng	bông phèng
botsam	bột sam
bangoi	Ba Ngòi
baclan	bạc lan
bidai	bí đái
binhnhung	binh nhung
bayba	bậy bạ
bientuong	biến tượng
bancondi	bạn con dì
baohoa	Bảo Hoà
anhanh	anh ánh
binhhai	Bình Hải
baoly	Bảo Lý
anxoi	ăn xổi
beohopmaytan	bèo hợp mây tan
be-ri-li	be-ri-li
a-xita-xe-tic	a-xít a-xê-tic
boi	bối
baibong	bài bông
baydat	bày đặt
binhphongthanh	Bình Phong Thạnh
bongbac	bông bạc
banchiu	bán chịu
batchangduocthalamphuc	bắt chẳng được tha làm phúc
bisactuphong	bỉ sắc tư phong
achau	á châu
baychu	bảy chữ
anhkiet	anh kiệt
batquyet	bắt quyết
aodonlongaokep	áo đơn lồng áo kép
boloi	bỏ lơi
boray	bọ rầy
biensuxu	biện sự xứ
bo	bo
andogiao	ấn độ giáo
banxoa	bàn xoa
anhdao	anh đào
angio	ăn giơ
banhuu	bạn hữu
baycoke	bẫy cò ke
beobeu	béo bệu
baoquoc	báo quốc
a-ga	a-ga
bithiet	bi thiết
baichay	Bãi Cháy
bongonhurovedongbang	bỡ ngỡ như rợ về đồng bằng
baychuyen	bày chuyện
beduoi	bề dưới
binhda	Bình Đa
bichhoa	bích họa
boqua	bỏ quá
anchodeukeuchosong	ăn cho đều, kêu cho sòng
bachiem	bá chiếm
bochidao	bọ chỉ đào
acqui	ác quỉ
bedausuttran	bể đầu sứt trán
bonhoai	bổ nhoài
basuongmotnang	ba sương một nắng
binhsinh	bình sinh
botui	bỏ túi
akhau	á khẩu
banke	bản kê
behanhbetoi	bẻ hành bẻ tỏi
anvoi	ăn vòi
bienchung	biến chủng
ap-xe	áp-xe
aocom	áo cơm
amdem	âm đệm
bechuoi	bẹ chuối
bolaoboleu	bố láo bố lếu
angialamthat	ăn giả làm thật
banphiet	Bản Phiệt
bieutuong	biểu tượng
bangngoc	băng ngọc
batgiu	bắt giữ
bebe	be be
battay	bắt tay
bala	ba la
ankhop	ăn khớp
babau	bà bầu
bienchuyen	biến chuyển
biamieng	bia miệng
boy	bố y
anbaoco	ăn báo cô
batquaitrando	bát quái trận đồ
bolao	bổ lao
batkham	bất kham
bachkhoa	Bách Khoa
baudon	Bàu Đồn
aoi	à ơi
a-sen	a-sen
ansinh	An Sinh
bienbach	biện bạch
aha	a ha
banlui	bàn lùi
binhgiang	Bình Giang
aho	a hộ
bonhao	bổ nháo
banhkhao	bánh khảo
bathao	bất hảo
bagai	ba gai
binhminh	Bình Minh
anbinh	ăn bĩnh
anngu	ăn ngữ
boxo	bơ xờ
anoanrachroi	ân oán rạch ròi
aobong	áo bông
banghieu	bảng hiệu
agiao	a giao
anhuonghoa	ăn hương hoả
annhi	ân nhi
boquen	bỏ quên
baothan	bạo thần
andong	ăn đong
binhthuy	Bình Thuỷ
bauruoutuitho	bầu rượu túi thơ
apsuatkhiquyen	áp suất khí quyển
bacloan	bác loạn
antri	an trí
axit	a xít
boiroinhubasude	bối rối như bà sư đẻ
banphongkien	bán phong kiến
boibut	bồi bút
anlanh	an lành
anghem	ăn ghém
binhtuyen	bình tuyển
ango	ăn gọ
beoday	béo đẫy
bau	bâu
baovu	báo vụ
a-mi-ang	a-mi-ăng
binhson	Bình Sơn
antaianhoi	ăn tái ăn hồi
bankhen	ban khen
batthucthoi	bất thức thời
boico-ron	bơi cơ-rôn
bacnhuran	bạc như rận
baotuong	bao tượng
angketang-ket	ăng két, ăng-kết
babi	ba bị
anbinhbatdong	án binh bất động
bongong	bọng ong
battai	bạt tai
bachung	Bắc Hưng
babebaymoi	ba bè bảy mối
baocai	bảo cái
bonheobonhoc	bồ nheo bồ nhóc
banh-to	bành-tô
amtuong	am tường
aicam	ai cảm
benhtuong	bệnh tưởng
binhguong	bình gương
baocat	bão cát
boimo	bôi mỡ
bacocbadong	ba cọc ba đồng
am-pe	ăm-pe
anbanlacdao	an bần lạc đạo
binhthien	bình thiên
baitrieu	bãi triều
bombe	bom bê
baophong	bạo phong
bongluoi	bông luồi
antrien	ấn triện
bacung	ba cùng
boigiotrattrau	bôi gio trát trấu
bachoaxoe	bạc hoa xoè
beu	bệu
anhietdoi	á nhiệt đới
amhieu	ám hiệu
battuongxam	bất tương xâm
banhoa	bán hoa
alumin	alumin
ap-ga-ni	áp-ga-ni
bieubi	biểu bì
batcocbodia	bắt cóc bỏ đĩa
aosomi	áo sơ mi
bonghia	bổ nghĩa
biengiang	Biên Giang
balangnhang	ba lăng nhăng
ac-tennongnghiep	ác-ten nông nghiệp
apgia	áp giá
benlau	bền lâu
acmotnoila	ác (một) nỗi là
ancomvoicaythingayooancomvoithitbothilongayngay	ăn cơm với cáy thì ngáy o o, ăn cơm với thịt bò thì lo ngay ngáy
bacbaccaoki	bắc bậc cao kì
amcatnolong	ấm cật no lòng
boroi	bỏ rơi
bangia	bạn già
batchuoc	bắt chước
bantongbanthao	bán tống bán tháo
a-da	a-đa
bamua	ba mứa
anchac	ăn chắc
amtham	âm thầm
angoinamnho	ăn gởi nằm nhờ
anthinh	An Thịnh
anquanh	ăn quanh
boisontratphan	bôi son trát phấn
baotanghoc	bảo tàng học
bogiap	bó giáp
anquang	An Quang
a-ba-giua	a-ba-giua
adhoc	ad hoc
boi	bỏi
batam	bát âm
amchinh	âm chính
bietthu	biệt thự
bocthom	bốc thơm
batngoai	bất ngoại
bannuocbuondan	bán nước buôn dân
baosan	bao sân
atropin	atropin
bazan	bazan
benhcan	bệnh căn
beobui	béo bùi
beonuocgapnhau	bèo nước gặp nhau
aothung	áo thùng
bonhurua	bò như rùa
batnhaochikhuon	bát nháo chi khươn
batcong	bất công
amcao	âm cao
acidbeo	acid béo
baotang	bảo tàng
botruong	bộ trưởng
bongxo	bông xơ
baoan	bảo an
al	Al
boptampho	bóp tầm phơ
boiden	bôi đen
bonong	bồ nông
a	A
bemieng	bé miệng
bochomuabac	bọ chó múa bấc
boxu	bô xu
banhga-to	bánh ga-tô
baoanh	báo ảnh
bocuoc	bỏ cuộc
becainham	bé cái nhầm
beotia	bèo tía
boplung	bóp lưng
a-vi	a-vi
amtinh	âm tính
bienli	biện lí
banlau	Bản Lầu
baninthu	bản in thử
binhtamtinhkhi	bình tâm tĩnh khí
boithu	bội thu
boicanh	bối cảnh
aogamdidem	áo gấm đi đêm
boigiao	bội giáo
aochen	áo chẽn
baivan	bài văn
balong	ba lông
betagochuno	bè ta gỗ chú nó
bavuongsanhvoibaytron	ba vuông sánh với bảy tròn
beplanhtrotan	bếp lạnh tro tàn
auau	au au
bachkhoathu	bách khoa thư
bayto	bày tỏ
aonep	áo nẹp
bomombomieng	bó mồm bó miệng
amhach	âm hạch
anvungbovai	ăn vung bỏ vãi
bosinh	Bó Sinh
ankiem	ấn kiếm
banrao	Bản Rao
backhe	Bắc Khê
abung	A Bung
anno	ăn no
borayxanh	bọ rầy xanh
andoi	ăn dối
bonheobonhoc	bò nheo bò nhóc
aotam	áo tắm
amchuyen	ấm chuyên
bothuasuacan	bơ thừa sữa cặn
bieudat	biểu đạt
angionammua	ăn gió nằm mưa
bangnhan	băng nhân
bentren	bên trên
baunhaubaunhau	bảu nhảu bàu nhàu
bangkhuang	bâng khuâng
banlao	ban lao
aotuthan	áo tứ thân
bamnhudia	bám như đỉa
biendieu	biến điệu
botu	bộ tư
bacung	Ba Cung
beomo	béo mỡ
amhai	ám hại
bennoi	bên nội
batsoncudinh	bạt sơn cử đỉnh
amphong	âm phong
banin	bản in
bannay	ban nãy
aocau	áo cầu
annghia	ân nghĩa
batan	bát ăn
anphe	án phê
alo	alô
banranoivao	bàn ra nói vào
aiquoc	ái Quốc
bangtuanhoan	bảng tuần hoàn
anhnuoi	anh nuôi
bachopbaynhoang	ba chớp bảy nhoáng
boluoi	bổ lưới
bopcobophau	bóp cổ bóp hầu
boiroiruottam	bối rối ruột tằm
bang-gio	băng-giô
bansen	Bản Sen
banhtaivoi	bánh tai voi
banhcucai	bánh củ cải
banghinh	băng hình
bientoc	biến tốc
baohanh	bảo hành
binhloi	Bình Lợi
aochet	áo chét
bakich	ba kích
anla	ăn lá
batoong	ba toong
bitien	bì tiên
ankhao	ăn khao
baoden	báo đền
battambattich	bặt tăm bặt tích
bayhoi	bay hơi
bithuong	bị thương
binhxuong	binh xưởng
bachthiet	bách thiết
binhcu	bình cư
anduongvuong	An Dương Vương
bieucam	biểu cảm
bonphuong	bốn phương
antap	ăn tạp
baocu	bảo cử
beobeo	beo béo
binhdien	bình điện
ano	ăn ở
baxuan	ba xuân
bachdau	bạch đầu
bantinbannghi	bán tín bán nghi
bacay	ba cây
banmuuhoachke	bàn mưu hoạch kế
ancanngoike	ăn cận ngồi kề
bangdoibanglua	bằng đôi bằng lứa
baccucquyen	bắc cực quyền
bochao	bồ chao
bogio	bó giò
bangiamhieu	ban giám hiệu
ba-te-so	ba-tê-sô
boireconhonngoikhong	bói rẻ còn hơn ngồi không
basalt	basalt
biencach	biến cách
bangdao	băng đảo
baorot	bão rớt
anbot	ăn bớt
baophu	bao phủ
beonoimaychim	bèo nổi mây chìm
beobot	bèo bọt
beodau	bèo dâu
bitham	bi thảm
bienho	biển hồ
aunhi	ấu nhi
bisau	bi sầu
aosogau	áo sổ gấu
baoquanh	bao quanh
babuacomchin	ba bữa cơm chín
baotu	bão từ
benbai	bến bãi
bientinh	biến tính
bankhuyen	bán khuyên
binhtrung	Bình Trưng
banvang	ban vàng
batbong	bật bông
battin	bặt tin
baoyen	Bảo Yên
bantoimattoimui	bận tối mắt tối mũi
boithe	bội thệ
anchung	ăn chung
bachonbonnoi	ba chốn bốn nơi
an-de-hit	an-đê-hít
bocu	bồ cu
ankiengankhem	ăn kiêng ăn khem
anthan	an thân
baoquan	bao quản
binhdoi	binh đội
batloi	bắt lỗi
anthai	An Thái
boitham	bồi thẩm
bauviu	bấu víu
ango	A Ngo
anngapmatngapmui	ăn ngập mặt ngập mũi
bobo	bô bô
baitoan	bài toán
bongbut	bông bụt
bidup	Bi Đup
ankhoa	ân khoa
badao	bá đạo
andatnamsuong	ăn đất nằm sương
baotudiep	bào tử diệp
bienvien	biên viễn
banphuam	bán phụ âm
ambinh	âm binh
anduongnamcho	ăn đường nằm chợ
anmung	ăn mừng
bangla	Bằng La
bale	Ba Lê
an-ma-nac	an-ma-nác
boitinh	bội tinh
bietthi	biệt thị
adau	a đẩu
aongu	áo ngự
bongua	bổ ngửa
biai	bi ai
binhcau	bình cầu
binhsa	Bình Sa
anlac	An Lạc
amvap	Am Váp
banvuoc	Bản Vược
benhcanhoc	bệnh căn học
anduongduong	an dưỡng đường
anmamngamvesau	ăn mắm ngắm về sau
angiacnganthu	an giấc ngàn thu
bachacay	bạc hà cay
basansang	ba sẵn sàng
bochihuy	bộ chỉ huy
anvung	ăn vụng
bobai	bơ bải
ankhe	An Khê
botxuong	bột xương
apgiai	áp giải
bophieu	bỏ phiếu
boiroinhutovo	bối rối như tơ vò
botucvanhoa	bổ túc văn hoá
bachgiai	bách giải
bonglaitiencanh	bồng lai tiên cảnh
benhoibentieng	bén hơi bén tiếng
amchuong	ám chướng
amaamuc	ấm a ấm ức
boi	bồi
baitranh	Bãi Trành
aihuu	ái hữu
benbo	bên bờ
binhquandiaquyen	bình quân địa quyền
aikhanh	ái khanh
bato	Ba Tô
boisuat	bội suất
ammon	âm môn
betong	bê tông
banhdua	bánh dừa
antheo	ăn theo
banhsapdibanhchilai	bánh sáp đi, bánh chì lại
bahoa	ba hoa
bienlai	biện lại
bomdan	bom đạn
baogoi	bao gói
baunang	Bàu Năng
anthonoituc	ăn thô nói tục
boba	bộ ba
bathac	ba thắc
bacnuocchogaonguoi	bắc nước chờ gạo người
boicho	bơi chó
bienson	Biên Sơn
annoi	ăn nổi
banthien	bàn thiên
bomphong	bom phóng
apsuattieuchuan	áp suất tiêu chuẩn
bongchanhbocchach	bòng chanh bóc chách
aobaogapngayhoi	áo bào gặp ngày hội
anxin	ăn xin
anhuonganhoa	ăn hương ăn hoa
binhngung	bình ngưng
batloi	bắt lời
anhhai	anh hài
baigiai	bài giải
baihuong	bài hương
bongong	bộng ong
betongcotthep	bêtông cốt thép
aosongkhai	áo song khai
ban-gio	ban-giô
boquan	bồ quân
bahang	Ba Hàng
aichi	ai chỉ
binhgia	bình giá
aphien	ả phiện
bietthanbietphan	biết thân biết phận
betaybutngayram	bẻ tay bụt ngày rằm
baunhiethuyet	bầu nhiệt huyết
beomap	béo mập
anhruot	anh ruột
bay	bấy
banhxe	bánh xe
bang-tup	băng-túp
bonbienlanha	bốn biển là nhà
apsuattoihan	áp suất tới hạn
anbuasanglanbuatoi	ăn bữa sáng lần bữa tối
biu	bĩu
anchangnokhodenminh	ăn chẳng no, khó đến mình
anngaitay	An Ngãi Tây
anthatlamgia	ăn thật làm giả
bole	bò lê
a-mo-ni-ac	a-mô-ni-ác
baichoi	bài chòi
bomothithieubochieuthithua	bó mo thì thiếu, bó chiếu thì thừa
benhnhi	bệnh nhi
binhchuachay	bình chữa cháy
betrieu	Bế Triều
ankhang	an khang
bocchay	bốc cháy
azot	azot
batphanthangbai	bất phân thắng bại
bonchon	bôn chôn
anchuanolochuaden	ăn chưa no, lo chưa đến
bongcau	bóng câu
anmotbatchaochaybaquangdong	ăn một bát cháo chạy ba quãng đồng
aodaikhanluot	áo dài khăn lượt
bannhuvaicat	bắn như vãi cát
bienca	biển cả
bairac	bãi rác
angionamsuong	ăn gió nằm sương
baoche	bào chế
biubo	bíu bo
baikien	bái kiến
bangdai	băng đai
bangtreo	băng tréo
banhtay	bánh tày
aa	â, Â
bangden	bảng đen
batieu	Ba Tiêu
binhan	bỉ nhân
bokhong	bỏ không
anmy	ân Mỹ
behoe	bẻ họe
a-tu-la	a-tu-la
binhthan	bình thân
bacninh	Bắc Ninh
bangxepdong	băng xếp đống
beboi	bê bối
amno	ấm no
baumat	bạu mặt
bovo	bơ vơ
banngoibanthu	bán ngôi bán thứ
ancomnhavactuvahangtong	ăn cơm nhà, vác tù và hàng tỗng
banbuitredenhebuihop	bắn bụi tre đè (nhè) bụi hóp
ancutkhongbietthoi	ăn cứt không biết thối
baihoai	bải hoải
bancua	ban cua
bienthanh	biên thành
baohoang	bảo hoàng
aohoangbao	áo hoàng bào
aobanhto	áo bành tô
baylabaychuyen	bay la bay chuyền
amdiem	ám điểm
anduong	ấn đường
beongay	béo ngậy
boktoi	Bok Tới
acquanmandoanh	ác quán mãn doanh
anbacmackinh	ăn bắc mặc kinh
baoduocnao	bảo được nào
bautroi	bầu trời
bo	Bo
a-mang	a-măng
binhhoatay	Bình Hoà Tây
bay	bẩy
binhchau	Bình Châu
baochua	bạo chúa
ano	ăn ở
beophe	béo phệ
binhduong	Bình Dương
anchuanolochuathau	ăn chưa no lo, chưa thấu
apatit	apatit
aotrao	áo trào
banthannuoimieng	bán thân nuôi miệng
anthaidong	An Thái Đông
baotu	bao tử
amvang	ầm vang
bangluan	Bằng Luân
baynhay	bấy nhấy
ango	ăn gỗ
bangdabangthit	bằng da bằng thịt
bieutu	biểu tự
bapdui	bắp đùi
bembep	bem bép
aibao	ai bảo
benbi	bên bị
ailai	ai lại
baibac	bài bạc
bauham	Bàu Hàm
aodaycomnang	áo dày cơm nặng
banbuon	bán buôn
axeton	axeton
ang-to-ra-xit	ăng-tơ-ra-xit
bienngau	biền ngẫu
battran	bát trân
annan	ăn năn
a-tro-pin	a-trô-pin
anthamnhugau	ăn tham như gấu
banhmuot	bánh mướt
anduong	an dưỡng
aomoi	áo mồi
bangvesinh	băng vệ sinh
amcung	âm cung
batnganmanda	bạt ngàn man dã
bauducchammamcay	bầu dục chấm mắm cáy
aitu	ai tử
banchieu	ban chiều
bienngoi	biến ngôi
banhoagia	bán hoá giá
bailam	bài làm
banquan	bản quán
banmai	ban mai
bahien	Bá Hiến
amvaothan	ấm vào thân
aonhong	áo nhộng
badaunam	ba đậu nam
apacthai	a pác thai
anle	ăn lễ
bocoibocut	bồ côi bồ cút
baisan	bại sản
bacthuoc	bắc thuộc
begay	bẻ gãy
bamdotngontay	bấm đốt ngón tay
benle	bên lề
boiduc	bồi dục
axitamin	axit amin
annodungmo	ăn no dửng mỡ
bangtup	băng túp
bomlua	bom lửa
betbe	bét be
bangphien	băng phiến
binhan	Bình An
baoxiet	bao xiết
anboc	ăn bốc
anson	ân Sơn
bangcandoi	bảng cân đối
boimat	bôi mặt
bacnam	bắc nam
antuong	An Tường
bochuongtrinhchuyendung	bộ chương trình chuyên dụng
bankhai	bán khai
beonhuconcuncut	béo như con cun cút
bazo	bazơ
amnang	âm nang
banlang	Bản Lang
bieuthue	biểu thuế
bonbien	bốn biển
bibabibo	bí ba bí bô
baubau	bàu bạu
bolekeocang	bò lê kéo càng
bopcoi	bóp còi
baoliet	bạo liệt
banhchungragoc	bánh chưng ra góc
banglang	bằng lăng
banhcuon	bánh cuốn
anphudong	An Phú Đông
betho	bé thơ
bobinh	bộ binh
bogiot	Bỏ giọt
a-mi-dan	a-mi-đan
bentau	bến tàu
baituong	bại tướng
beomat	béo mắt
baodong	báo động
batthanhnhancach	bất thành nhân cách
anqua	ăn quà
annhan	an nhàn
bongdua	bông đùa
bidinh	bi đình
baugiathimuopcungxo	bầu già thì mướp cũng xơ
binhlang	Bình Lăng
bietthoibietthe	biết thời biết thế
baorong	bão rong
binhnhan	Bình Nhân
anh-te-phon	anh-te-phôn
bongda	bong da
aococquanmanh	áo cộc quần manh
boitruc	bồi trúc
bachua	Ba Chùa
annhucungunhuxua	ăn như cũ, ngủ như xưa
andananhlamdanem	ăn đàn anh, làm đàn em
anvan	ăn vận
baode	bào đệ
binhdoan	binh đoàn
bietdongdoi	biệt động đội
bo	bơ
biemhoa	biếm họa
box	box
aobay	áo bay
ancungnoingoicungchieu	ăn cùng nồi, ngồi cùng chiếu
bolan	bò lan
bay-on-net	bay-on-nét
benme	bến mê
benhtamthan	bệnh tâm thần
battreo	bắt tréo
binhlua	binh lửa
batoto	bát ô tô
binhvu	binh vụ
amba	âm ba
bentinhbenhieu	bên tình bên hiếu
bamuoi	ba mươi
balien	Ba Liên
bacdauboitinh	bắc đẩu bội tinh
aodondoihe	áo đơn đợi hè
ancaynaoraocayay	ăn cây nào rào cây ấy
bathocdientuong	bất học diện tường
bainai	bãi nại
bahoi	ba hồi
bansinhbanthuc	bán sinh bán thục
bangngan	băng ngàn
batang	Ba Tầng
aodau	áo dấu
at-pi-rin	át-pi-rin
baoho	bảo hộ
botbeo	bọt bèo
binhhungtuongmanh	binh hùng tướng mạnh
biatuoi	bia tươi
baiquan	bại quân
boda	bọ da
bangghi	bảng ghi
banhdanem	bánh đa nem
anquan	ăn quân
biettong	biết tỏng
baoliep	báo liếp
antu	ân tứ
anxuan	An Xuân
bode	bô đê
bi-tum	bi-tum
binhbi	binh bị
achiem	ác hiểm
bachuc	Ba Chúc
bogia	bõ già
baocong	báo công
anbon	ăn bòn
baoanh	bảo anh
ancanhnamke	ăn cạnh nằm kề
bonhambonhiem	bổ nhậm, bổ nhiệm
bongua	bộ ngựa
binhcong	bình công
bodoichuluc	bộ đội chủ lực
bantin	bản tin
bovay	bổ vây
anhhunglucluongvutrang	anh hùng lực lượng vũ trang
amthanhcanhvang	am thanh cảnh vắng
baihai	bải hải
apchao	áp chảo
amvan	âm vận
bihung	bi hùng
anhaidainat	ăn hại đái nát
bangha	băng hà
baydau	bay đầu
baitap	bài tập
bacdoat	bác đoạt
baovequan	bảo vệ quân
baivat	bái vật
boong	boóng
bovonhucholacdan	bơ vơ như chó lạc đàn
bai	bái
banbiu	bận bịu
ananh	ăn ảnh
bantrang	bàn trang
binhthuong	bình thường
apphe	áp phe
bauducdaudenbanthunam	bầu dục đâu đến bàn thứ năm
banchuimatchuimui	bận chúi mắt chúi mũi
bacumnam	Ba Cụm Nam
anre	ăn rễ
bis	bis
banbo	ban bố
bihai	bi hài
aomayo	áo may ô
ac-ti-so	ác-ti-sô
bo-lu-dong	bờ-lu-dông
bongngoai	bổng ngoại
boso	bơ sờ
bancunghoa	bần cùng hoá
bayganbayruot	bẩy gan, bẩy ruột
bemontakhach	bế môn tạ khách
binhphap	binh pháp
bongtang	bồng tang
anninhtay	An Ninh Tây
anlai	ăn lãi
antranghiaden	ân trả nghĩa đền
bithuat	bí thuật
bangtro	bang trợ
beotron	béo tròn
anhuong	an hưởng
binhhoa	binh hoạ
bangkhong	bằng không
bieuhien	biểu hiện
bache	Ba Chẽ
binhhoabac	Bình Hoà Bắc
baiphuc	bái phục
batdia	bát đĩa
ankhongnoico	ăn không nói có
bocong	bõ công
bientai	biên tái
baoquan	bào quan
bangdia	bằng địa
anductay	An Đức Tây
bieukien	biểu kiến
aothunla	áo thun lá
bequantoacang	bế quan tỏa cảng
authuyen	âu thuyền
annghia	ân Nghĩa
binhvoguongtan	bình vỡ gương tan
banconong	bần cố nông
batngua	bật ngửa
baylau	bấy lâu
a-zot	a-zốt
amben	âm bên
banhtrungthu	bánh Trung thu
amtiet	âm tiết
anbien	an biên
anchuc	ăn chực
bacotnguimuitanhuong	bà cốt ngửi mùi tàn hương
anminh	An Minh
ainay	ai nấy
amxiu	ẩm xìu
binhnam	Bình Nam
an-ca-lo-it	an-ca-lo-ít
bannao	bàn nạo
babayhaimuoimot	ba bảy hai mươi mốt
amduc	âm đức
bachanboncang	ba chân bốn cẳng
ancuoi	ăn cướì
banhtay	bánh tây
baoquan	bạo quân
anbinha	An Bình A
banglan	băng lăn
baothuan	Bảo Thuận
biluy	bi luỵ
bamgantimruot	bầm gan tím ruột
antuoi	ăn tươi
banthu	ban thứ
bicao	bị cáo
boiphong	bồi phòng
binhquy	Bình Quý
acidamin	acid amin
baosa	bao sá
bachmaocan	bạch mao căn
booc-do	boóc-đô
anchungolon	ăn chung ở lộn
acqua	ác quả
bolabolet	bò la bò lết
beoxu	béo xụ
binhcuruoumoi	bình cũ rượu mới
bienhoa	Biên Hoà
benmui	bền mùi
bocaobutnomacchobutkia	bóc áo bụt nọ mặc cho bụt kia
binhuy	binh uy
bietlap	biệt lập
boichinh	bội chỉnh
banqua	Bản Qua
beobo	béo bở
bausao	bầu sao
bomna-pan	bom na-pan
bandien	bạn điền
benh	bênh
bauvat	báu vật
anchia	ăn chia
bephai	bè phái
bacphau	bạc phau
